codvar,meaning_of_drug_record,count_n
B01AB05,dispensing_in_hospital_pharmacy_for_home_use,121
B01AC24,dispensing_in_hospital_pharmacy_for_home_use,13
B01AC04,dispensing_in_hospital_pharmacy_for_home_use,8
B01AB07,dispensing_in_hospital_pharmacy_for_home_use,3
B01AF03,dispensing_in_hospital_pharmacy_for_home_use,8
B01AX05,dispensing_in_hospital_pharmacy_for_home_use,1
C01EB18,dispensing_in_hospital_pharmacy_for_home_use,7
C01CA24,dispensing_in_hospital_pharmacy_for_home_use,11
B01AF02,dispensing_in_hospital_pharmacy_for_home_use,11
B01AB12,dispensing_in_hospital_pharmacy_for_home_use,2
C01EB17,dispensing_in_hospital_pharmacy_for_home_use,1
B01AC06,dispensing_in_hospital_pharmacy_for_home_use,1
B01AC06,dispensing_in_community_pharmacy,12
C01DA14,dispensing_in_community_pharmacy,1
C01BC04,dispensing_in_community_pharmacy,1
