codvar,meaning_of_drug_record,count_n
R03DC03,dispensing_in_hospital_pharmacy_for_home_use,1
R03AK08,dispensing_in_hospital_pharmacy_for_home_use,1
R03DX05,dispensing_in_hospital_pharmacy_for_home_use,34
R03AC02,dispensing_in_hospital_pharmacy_for_home_use,3
R03BA01,dispensing_in_hospital_pharmacy_for_home_use,1
R03BB04,dispensing_in_hospital_pharmacy_for_home_use,1
R03BA01,dispensing_in_community_pharmacy,30
R03AC02,dispensing_in_community_pharmacy,28
R03AK06,dispensing_in_community_pharmacy,13
R03BA02,dispensing_in_community_pharmacy,10
R03DC03,dispensing_in_community_pharmacy,11
R03BB01,dispensing_in_community_pharmacy,1
R03DA04,dispensing_in_community_pharmacy,2
R03BA03,dispensing_in_community_pharmacy,6
R03AL02,dispensing_in_community_pharmacy,1
R03BA05,dispensing_in_community_pharmacy,14
R03AC12,dispensing_in_community_pharmacy,1
R03BA08,dispensing_in_community_pharmacy,3
R03AK07,dispensing_in_community_pharmacy,3
R03AK13,dispensing_in_community_pharmacy,8
R03AK08,dispensing_in_community_pharmacy,7
R03AL03,dispensing_in_community_pharmacy,10
R03AK10,dispensing_in_community_pharmacy,4
R03BB07,dispensing_in_community_pharmacy,1
R03BB04,dispensing_in_community_pharmacy,2
R03AC13,dispensing_in_community_pharmacy,4
R03BB06,dispensing_in_community_pharmacy,5
